Seq_name	Read1	Read2	Instrument_run	ID_sample	Bldg_loc_ID	Bldg_ID	Temp_degC	pH	Hardness	CFU_L	Country	City	Season_year	Time_point	Building_type	Location_in_building
049_17	049_17_V3V4_FWD.fastq.gz	049_17_V3V4_REV.fastq.gz	DE18INS60512_124	PB-MW	W_B1_MW	W_B1	4.2	7.33	207	0	Poland	Warsaw	Winter2017	2017-01	Public_building	MW
052_17	052_17_V3V4_FWD.fastq.gz	052_17_V3V4_REV.fastq.gz	DE18INS60512_124	PB-HRW	W_B1_HRW	W_B1	48	7.33	207	14190	Poland	Warsaw	Winter2017	2017-01	Public_building	HRW
086_17	086_17_V3V4_FWD.fastq.gz	086_17_V3V4_REV.fastq.gz	DE18INS60512_124	PB_FPB	W_B1_FPB	W_B1	50	7.33	207	30820	Poland	Warsaw	Winter2017	2017-01	Public_building	FPB
057_17	057_17_V3V4_FWD.fastq.gz	057_17_V3V4_REV.fastq.gz	DE18INS60512_124	HO1-MW	W_B2_MW	W_B2	5.4	7.33	207	143	Poland	Warsaw	Winter2017	2017-01	Hotel	MW
058_17	058_17_V3V4_FWD.fastq.gz	058_17_V3V4_REV.fastq.gz	DE18INS60512_124	HO1-Bb	W_B2_BB	W_B2	51.2	7.33	207	7380	Poland	Warsaw	Winter2017	2017-01	Hotel	BB
059_17	059_17_V3V4_FWD.fastq.gz	059_17_V3V4_REV.fastq.gz	DE18INS60512_124	HO1-HRW	W_B2_HRW	W_B2	50.7	7.33	207	57	Poland	Warsaw	Winter2017	2017-01	Hotel	HRW
060_17	060_17_V3V4_FWD.fastq.gz	060_17_V3V4_REV.fastq.gz	DE18INS60512_124	HO1-FPB	W_B2_FPB	W_B2	35.2	7.33	207	930	Poland	Warsaw	Winter2017	2017-01	Hotel	FPB
065_17	065_17_V3V4_FWD.fastq.gz	065_17_V3V4_REV.fastq.gz	DE18INS60512_124	HO2-HRW	W_B3_HRW	W_B3	46.5	7.4	24	0	Poland	Warsaw	Winter2017	2017-01	Hospital	HRW
241.17	241.17_1.fastq.gz	241.17_2.fastq.gz	DE18INS60510_349	PB-MW	W_B1_MW	W_B1	21.5	7.1	184	0	Poland	Warsaw	Summer2017	2017-07	Public_building	MW
242.17	242.17_1.fastq.gz	242.17_2.fastq.gz	DE18INS60510_349	PB-Bb	W_B1_BB	W_B1	57	7.1	184	0	Poland	Warsaw	Summer2017	2017-07	Public_building	BB
243.17	243.17_1.fastq.gz	243.17_2.fastq.gz	DE18INS60510_349	PB-HRW	W_B1_HRW	W_B1	50.4	7.1	184	670	Poland	Warsaw	Summer2017	2017-07	Public_building	HRW
244.17	244.17_1.fastq.gz	244.17_2.fastq.gz	DE18INS60510_349	PB_FPB	W_B1_FPB	W_B1	50.4	7.1	184	5180	Poland	Warsaw	Summer2017	2017-07	Public_building	FPB
283.17	283.17_1.fastq.gz	283.17_2.fastq.gz	DE18INS60510_349	HO1-MW	W_B2_MW	W_B2	23.7	7.0	205	24	Poland	Warsaw	Summer2017	2017-07	Hotel	MW
284.17	284.17_1.fastq.gz	284.17_2.fastq.gz	DE18INS60510_349	HO1-Bb	W_B2_BB	W_B2	44.4	7.0	205	2160	Poland	Warsaw	Summer2017	2017-07	Hotel	BB
285.17	285.17_1.fastq.gz	285.17_2.fastq.gz	DE18INS60510_349	HO1-HRW	W_B2_HRW	W_B2	45.1	7.0	205	850	Poland	Warsaw	Summer2017	2017-07	Hotel	HRW
286.17	286.17_1.fastq.gz	286.17_2.fastq.gz	DE18INS60510_349	HO1-FPB	W_B2_FPB	W_B2	40.5	7.0	205	300	Poland	Warsaw	Summer2017	2017-07	Hotel	FPB
257.17	257.17_1.fastq.gz	257.17_2.fastq.gz	DE18INS60510_349	HO2-MW	W_B3_MW	W_B3	16.7	7.2	224	0	Poland	Warsaw	Summer2017	2017-07	Hospital	MW
258.17	258.17_1.fastq.gz	258.17_2.fastq.gz	DE18INS60510_349	HO2-Bb	W_B3_BB	W_B3	36	7.2	224	23000	Poland	Warsaw	Summer2017	2017-07	Hospital	BB
259.17	259.17_1.fastq.gz	259.17_2.fastq.gz	DE18INS60510_349	HO2-HRW	W_B3_HRW	W_B3	42.9	7.2	224	17000	Poland	Warsaw	Summer2017	2017-07	Hospital	HRW
260.17	260.17_1.fastq.gz	260.17_2.fastq.gz	DE18INS60510_349	HO2_FPB	W_B3_FPB	W_B3	43.3	7.2	224	28000	Poland	Warsaw	Summer2017	2017-07	Hospital	FPB
390.17	390.17.V3V4_1.fastq.gz	390.17.V3V4_2.fastq.gz	M01607_357	PB-MW	W_B1_MW	W_B1	12.3	7.3	195	0	Poland	Warsaw	Autumn2017	2017-10	Public_building	MW
392.17	392.17.V3V4_1.fastq.gz	392.17.V3V4_2.fastq.gz	M01607_357	PB-HRW	W_B1_HRW	W_B1	51.1	7.3	195	17000	Poland	Warsaw	Autumn2017	2017-10	Public_building	HRW
393.17	393.17.V3V4_1.fastq.gz	393.17.V3V4_2.fastq.gz	M01607_357	PB_FPB	W_B1_FPB	W_B1	50	7.3	195	14000	Poland	Warsaw	Autumn2017	2017-10	Public_building	FPB
424.17	424.17.V3V4_1.fastq.gz	424.17.V3V4_2.fastq.gz	M01607_357	HO1-MW	W_B2_MW	W_B2	8.9	7.3	195	5	Poland	Warsaw	Autumn2017	2017-10	Hotel	MW
425.17	425.17.V3V4_1.fastq.gz	425.17.V3V4_2.fastq.gz	M01607_357	HO1-Bb	W_B2_BB	W_B2	40.7	7.3	195	52000	Poland	Warsaw	Autumn2017	2017-10	Hotel	BB
426.17	426.17.V3V4_1.fastq.gz	426.17.V3V4_2.fastq.gz	M01607_357	HO1-HRW	W_B2_HRW	W_B2	51	7.3	195	0	Poland	Warsaw	Autumn2017	2017-10	Hotel	HRW
427.17	427.17.V3V4_1.fastq.gz	427.17.V3V4_2.fastq.gz	M01607_357	HO1-FPB	W_B2_FPB	W_B2	41	7.3	195	160	Poland	Warsaw	Autumn2017	2017-10	Hotel	FPB
428.17	428.17.V3V4_1.fastq.gz	428.17.V3V4_2.fastq.gz	M01607_357	HO2-MW	W_B3_MW	W_B3	11.9	7.5	40	0	Poland	Warsaw	Autumn2017	2017-10	Hospital	MW
429.17	429.17.V3V4_1.fastq.gz	429.17.V3V4_2.fastq.gz	M01607_357	HO2-Bb	W_B3_BB	W_B3	54.5	7.5	256	43000	Poland	Warsaw	Autumn2017	2017-10	Hospital	BB
430.17	430.17.V3V4_1.fastq.gz	430.17.V3V4_2.fastq.gz	M01607_357	HO2-HRW	W_B3_HRW	W_B3	50	7.5	256	17700	Poland	Warsaw	Autumn2017	2017-10	Hospital	HRW
431.17	431.17.V3V4_1.fastq.gz	431.17.V3V4_2.fastq.gz	M01607_357	HO2_FPB	W_B3_FPB	W_B3	54.7	7.5	256	1500	Poland	Warsaw	Autumn2017	2017-10	Hospital	FPB
112.18	112.18.V3V4_1.fastq.gz	112.18.V3V4_2.fastq.gz	M01607_357	PB-MW	W_B1_MW	W_B1	18.5	7.2	208	0	Poland	Warsaw	Spring2018	2018-04	Public_building	MW
113.18	113.18.V3V4_1.fastq.gz	113.18.V3V4_2.fastq.gz	M01607_357	PB-Bb	W_B1_BB	W_B1	54.5	7.2	208	0	Poland	Warsaw	Spring2018	2018-04	Public_building	BB
114.18	114.18.V3V4_1.fastq.gz	114.18.V3V4_2.fastq.gz	M01607_357	PB-HRW	W_B1_HRW	W_B1	52.2	7.3	208	48000	Poland	Warsaw	Spring2018	2018-04	Public_building	HRW
115.18	115.18.V3V4_1.fastq.gz	115.18.V3V4_2.fastq.gz	M01607_357	PB_FPB	W_B1_FPB	W_B1	50.5	7.3	208	60000	Poland	Warsaw	Spring2018	2018-04	Public_building	FPB
121.18	121.18.V3V4_1.fastq.gz	121.18.V3V4_2.fastq.gz	M01607_357	HO1-MW	W_B2_MW	W_B2	23.3	7.1	120	92	Poland	Warsaw	Spring2018	2018-04	Hotel	MW
122.18	122.18.V3V4_1.fastq.gz	122.18.V3V4_2.fastq.gz	M01607_357	HO1-Bb	W_B2_BB	W_B2	33.2	7.3	250	40	Poland	Warsaw	Spring2018	2018-04	Hotel	BB
123.18	123.18.V3V4_1.fastq.gz	123.18.V3V4_2.fastq.gz	M01607_357	HO1-HRW	W_B2_HRW	W_B2	61.9	7.2	120	0	Poland	Warsaw	Spring2018	2018-04	Hotel	HRW
124.18	124.18.V3V4_1.fastq.gz	124.18.V3V4_2.fastq.gz	M01607_357	HO1-FPB	W_B2_FPB	W_B2	41.3	7.3	370	0	Poland	Warsaw	Spring2018	2018-04	Hotel	FPB
117.18	117.18.V3V4_1.fastq.gz	117.18.V3V4_2.fastq.gz	M01607_357	HO2-MW	W_B3_MW	W_B3	15	7.1	13	0	Poland	Warsaw	Spring2018	2018-04	Hospital	MW
118.18	118.18.V3V4_1.fastq.gz	118.18.V3V4_2.fastq.gz	M01607_357	HO2-Bb	W_B3_BB	W_B3	27.3	7.1	14	99000	Poland	Warsaw	Spring2018	2018-04	Hospital	BB
119.18	119.18.V3V4_1.fastq.gz	119.18.V3V4_2.fastq.gz	M01607_357	HO2-HRW	W_B3_HRW	W_B3	41.2	7.1	13	65000	Poland	Warsaw	Spring2018	2018-04	Hospital	HRW
120.18	120.18.V3V4_1.fastq.gz	120.18.V3V4_2.fastq.gz	M01607_357	HO2_FPB	W_B3_FPB	W_B3	44.3	7.1	13	93000	Poland	Warsaw	Spring2018	2018-04	Hospital	FPB
